title;authors;editor;collection;synopsis;bonus_content;price;actors;country;age_rating;original_title;duration;production_year;EAN;availability;distributor;media_type;dvd_zone;format_tv;format_cinema;publication_date;audio_track;subtitle_track;image_URL;in_stock;category;subcategory;subcategory_genre_1;subcategory_genre_2;subcategory_genre_3;subcategory_genre_4
Maigret et l'affaire Saint-Fiacre;Jean Delannoy;Coin de Mire Cinéma;Collection La Séance;Le commissaire Maigret reçoit chez lui la visite d'une amie, la Comtesse de Saint-Fiacre qu'il n'avait pas vue depuis quarante ans. Elle vient lui montrer une lettre anonyme qui lui annonce sa propre mort, laquelle aurait lieu le lendemain. Maigret l'accompagne le soir même en son château. Il éprouve une sensation pesante dans cette bâtisse délabrée. Le lendemain matin, on découvre la Comtesse morte. Le médecin conclut à un décès naturel mais Maigret déclare : non c'est bien un crime...;"Édition collector limitée à 3 000 exemplaires et numérotée
Boîtier Digibook 19,4 x 14 cm
Restauration HD par TF1 Studio, avec le CNC
Menu proposant au choix :
- la séance complète avec actualités Pathé, réclames publicitaires et bandes-annonces d'époque
- le film seul
Contient :
- le Blu-ray du film (101' - séance complète 123')
- le DVD du film (97' - séance complète 118' - zone 2)
- un livret reproduisant des documents d'époque (24 pages)
- 10 reproductions de photos d'exploitations (15 x 12 cm)
- la reproduction de l'affiche d'époque (29 x 21,5 cm)

Actualités Pathé d'époque (HD)
Réclames publicitaires d'époque
Bandes-annonces d'époque
Bandes-annonces de la collection ""La Séance""";32.00 €;Jean Gabin,Michel Auclair,Valentine Tessier,Jacques Morel,Paul Frankeur,Robert Hirsch,Jacques Marin,Michel Vitold,Armande Navarre,Gabrielle Fontan,Jacques Hilling,Micheline Luccioni;"France;Italie";Tous publics;Maigret et l'affaire Saint-Fiacre;101 mn;1959;3701258300276;Disponible;COIN DE MIRE;Blu-ray;B;16/9 Natif;1.66;4 septembre 2020;Audio : Français DTSHD-MA 2.0mono;;https://images.epagine.fr/276/3701258300276_vid.jpg;Sur commande;Cinéma;Long métrage;Policier;;;
Maxime;Henri Verneuil;Coin de Mire Cinéma;Collection La Séance;"Jacqueline Monneron, une riche et élégante célibataire, mène une vie brillante et mondaine dans ce Paris de la fin de la Belle époque. Elle est courtisée par Hubert, un jeune homme mal élevé qu'elle rejète et évite. Celui-ci charge Maxime, son homme à tout faire, vieux parisien spirituel, ironique et philosophe, de lui ""arranger"" une entrevue avec Jacqueline...";"Édition collector limitée à 3 000 exemplaires et numérotée
Boîtier Digibook 19,4 x 14 cm
Restauration 4K à partir du négatif original par TF1 Studio, avec le CNC et Coin de Mire Cinéma
Menu proposant au choix :
- la séance complète avec actualités Pathé, réclames publicitaires et bandes-annonces d'époque
- le film seul
Contient :
- le Blu-ray du film (123' - séance complète 149')
- le DVD du film (118' - séance complète 144' - zone 2)
- un livret reproduisant des documents d'époque (24 pages)
- 10 reproductions de photos d'exploitations (15 x 12 cm)
- la reproduction de l'affiche d'époque (29 x 21,5 cm)

Actualités Pathé d'époque (HD)
Réclames publicitaires d'époque
Bandes-annonces d'époque
Bandes-annonces de la collection ""La Séance""";32.00 €;Michèle Morgan,Charles Boyer,Arletty,Felix Marten,Jane Marken,Micheline Luccioni,Meg Lemonnier,André Brunot,Geneviève Morel,Jacques Dufilho,Fenand Fabre,Van Doude,Jean-Marie Proslier;France;Tous publics;Maxime;123 mn;1958;3701258300290;Disponible;COIN DE MIRE;Blu-ray;B;16/9 Natif;1.66;4 septembre 2020;Audio : Français DTSHD-MA 2.0mono;;https://images.epagine.fr/290/3701258300290_vid.jpg;En stock;Cinéma;Long métrage;Comédie;;;
Le Diable et les 10 commandements;Julien Duvivier;Coin de Mire Cinéma;Collection La Séance;Si le diable n'existait pas, les Dix commandements n'auraient aucune raison d'être... puisque la tentation n'existerait pas... Mais le mensonge et les vices se glissent partout dans les âmes humaines, surtout là où il ne faudrait pas, ce qui amuse beaucoup le Diable, grand meneur de jeu au sein de ces huit tranches de vie...;"Édition collector limitée à 3 000 exemplaires et numérotée
Boîtier Digibook 19,4 x 14 cm
Restauration 4K à partir du négatif original par TF1 Studio, avec le CNC et Coin de Mire Cinéma
Version intégrale inédite avec pour la première fois le montage des 8 sketchs
Menu proposant au choix :
- la séance complète avec actualités Pathé, réclames publicitaires et bandes-annonces d'époque
- le film seul
Contient :
- le Blu-ray du film (145' - séance complète 165')
- le DVD du film (139' - séance complète 158' - zone 2)
- un livret reproduisant des documents d'époque (24 pages)
- 10 reproductions de photos d'exploitations (15 x 12 cm)
- la reproduction de l'affiche d'époque (29 x 21,5 cm)

Actualités Pathé d'époque (HD)
Réclames publicitaires d'époque
Bandes-annonces d'époque
Bandes-annonces de la collection ""La Séance""";32.00 €;Françoise Arnoul,Charles Aznavour,Maurice Biraud,Jean-Claude Brialy,Jean Carmet,Mireille Darc,Danielle Darrieux,Claude Dauphin,Alain Delon,Fernandel,Mel Ferrer,Louis De Funes,Micheline Presle,Madeleine Robinson,Dany Saval,Michel Simon,Henri Tisot,Lino Ventura,Georges Wilson;"France;Italie";Tous publics;Le Diable et les 10 commandements;145 mn;1962;3701258300238;Disponible;COIN DE MIRE;Blu-ray;B;16/9 Natif;2.35;4 septembre 2020;Audio : Français DTSHD-MA 2.0mono;;https://images.epagine.fr/238/3701258300238_vid.jpg;En stock;Cinéma;Long métrage;Comédie Dramatique;;;
Maigret tend un piège;Jean Delannoy;Coin de Mire Cinéma;Collection La Séance;Dans le quartier de la place des Vosges à Paris, un inconnu rôde et tue des femmes toujours de la même façon. Les meurtres s'enchainent. Ce tueur devient pour le commissaire Maigret une sorte d'ennemi personnel. Jamais il ne s'est trouvé aussi désemparé devant une affaire où ne pointe pas le moindre indice. C'est alors qu'il imagine une manoeuvre désespérée...;"Édition collector limitée à 3 000 exemplaires et numérotée
Boîtier Digibook 19,4 x 14 cm
Restauration HD par TF1 Studio, avec le CNC
Menu proposant au choix :
- la séance complète avec actualités Pathé, réclames publicitaires et bandes-annonces d'époque
- le film seul
Contient :
- le Blu-ray du film (119' - séance complète 141')
- le DVD du film (114' - séance complète 133' - zone 2)
- un livret reproduisant des documents d'époque (24 pages)
- 10 reproductions de photos d'exploitations (15 x 12 cm)
- la reproduction de l'affiche d'époque (29 x 21,5 cm)

Actualités Pathé d'époque (HD)
Réclames publicitaires d'époque
Bandes-annonces d'époque
Bandes-annonces de la collection ""La Séance""";32.00 €;Jean Gabin,Annie Girardot,Jean Desailly,Gérard Sety,André Valmy,Olivier Hussenot,Lucienne Bogaert,Lino Ventura,Jean Tissier,Jeanne Boitel,Jean Debucourt,Paulette Dubost;"France;Italie";Tous publics;Maigret tend un piège;119 mn;1958;3701258300269;Disponible;COIN DE MIRE;Blu-ray;B;16/9 Natif;1.37;4 septembre 2020;Audio : Français DTSHD-MA 2.0mono;;https://images.epagine.fr/269/3701258300269_vid.jpg;Sur commande;Cinéma;Long métrage;Policier;;;
Maigret voit rouge;Gilles Grangier;Coin de Mire Cinéma;Collection La Séance;Trois hommes à bord d'une Chevrolet tirent sur un américain en plein Pigalle. Lorsqu'un témoin s'approche pour secourir la victime, celle-ci a disparu, emportée par une mystérieuse DS blanche. Le commissaire Maigret se rend d'abord à l'Ambassade des États-Unis où un diplomate lui conseille de ne pas s'occuper de l'affaire... Il n'en faut pas plus pour que Maigret voit rouge...;"Édition collector limitée à 3 000 exemplaires et numérotée
Boîtier Digibook 19,4 x 14 cm
Restauration 4K à partir du négatif original par Studiocanal, avec le CNC et Coin de Mire Cinéma
Menu proposant au choix :
- la séance complète avec actualités Pathé, réclames publicitaires et bandes-annonces d'époque
- le film seul
Contient :
- le Blu-ray du film (87' - séance complète 111')
- le DVD du film (83' - séance complète 105' - zone 2)
- un livret reproduisant des documents d'époque (24 pages)
- 10 reproductions de photos d'exploitations (15 x 12 cm)
- la reproduction de l'affiche d'époque (29 x 21,5 cm)

Actualités Pathé d'époque (HD)
Réclames publicitaires d'époque
Bandes-annonces d'époque
Bandes-annonces de la collection ""La Séance""";32.00 €;Jean Gabin,Françoise Fabian,Marcel Bozzufi,Paul Carpenter,Michel Constantin,Guy Decomble,Edward Meeks,Ricky Cooper,Vittorio Sanipoli,Paul Frankeur,Paulette Dubost,Jacques Dynam;"France;Italie";Tous publics;Maigret voit rouge;87 mn;1963;3701258300283;Disponible;COIN DE MIRE;Blu-ray;B;16/9 Natif;1.66;4 septembre 2020;Audio : Français DTSHD-MA 2.0mono;;https://images.epagine.fr/283/3701258300283_vid.jpg;Sur commande;Cinéma;Long métrage;Policier;;;
Les Évadés;Jean-Paul Le Chanois;Coin de Mire Cinéma;Collection La Séance;1943. Michel et François, deux prisonniers de guerre, s'évadent d'un camp allemand. En chemin, ils rencontrent Pierre, un lieutenant français dont le plan d'évasion a échoué. Une amitié nait entre ces trois hommes aux caractères très différents et qui exercent dans la vie des professions très dissemblables. Mais ils ont un objectif commun : gagner la Suède en traversant le nord de l'Allemagne et le Danemark...;"Édition collector limitée à 3 000 exemplaires et numérotée
Boîtier Digibook 19,4 x 14 cm
Restauration 4K à partir du négatif original par TF1 Studio, avec le CNC et Coin de Mire Cinéma
Menu proposant au choix :
- la séance complète avec actualités Pathé, réclames publicitaires et bandes-annonces d'époque
- le film seul
Contient :
- le Blu-ray du film (117' - séance complète 142')
- le DVD du film (112' - séance complète 136' - zone 2)
- un livret reproduisant des documents d'époque (24 pages)
- 10 reproductions de photos d'exploitations (15 x 12 cm)
- la reproduction de l'affiche d'époque (29 x 21,5 cm)

Fin alternative inédite en couleurs
Actualités Pathé d'époque (HD)
Réclames publicitaires d'époque
Bandes-annonces d'époque
Bandes-annonces de la collection ""La Séance""";32.00 €;Pierre Fresnay,François Perier,Michel André,Sylvia Monfort,Jacques Marin,Luc Andrieux,Georgette Anys,Robert Rollis,Alain Bouvette,Albert Michel,Pierre Ferval,Max Tréjean,Jean Clarieux,Bernard Musson;France;Tous publics;Les Évadés;117 mn;1955;3701258300306;Disponible;COIN DE MIRE;Blu-ray;B;16/9 Natif;1.37;4 septembre 2020;Audio : Français DTSHD-MA 2.0mono;;https://images.epagine.fr/306/3701258300306_vid.jpg;En stock;Cinéma;Long métrage;Guerre;;;
twist again à Moscou;Poire Jean-Marie;GAUMONT;;En Russie, un jeune dissident et sa fiancée, une célèbre chanteuse de rock, sont recherchés par le KGB. Ils demandent aide et asile à Igor, un riche bourgeois installé par le Parti à la tête d?un grand hôtel moscovite.;;14.90 €;Christian Clavier,Philippe Noiret,Bernard Blier;FRANCE;TOUT PUBLIC;twist again à Moscou;105 mn;1986;3607483280478;Disponible;ESC DISTRIBUTION;BLU-RAY DISC;2;;;2 septembre 2020;Audio : Français;Sous-titrage : Français;https://images.epagine.fr/478/3607483280478_vid.jpg;En stock;Cinéma;Long métrage;Comédie;;;
Crésus;Jean Giono;Gaumont;Gaumont Découverte DVD;Jules, un berger provençal, trouve un jour au détour d'un sentier un conteneur d'aviation qui renferme une immense fortune. Ne sachant que faire des billets de banque, il décide de les distribuer anonymement aux villageois.;Image et son d'origine;12.90 €;Fernandel,Marcelle Ranson-Hervé,Rellys,Sylvie,René Génin,Miguel Gamy,Edouard Hemme,Paul Préboist,Jeanne Pérez,Jeanne Mars;France;Tous publics;Crésus;;1960;3607483280331;Disponible;ESC DISTRIBUTION;DVD;ALL;16/9 Anamorphique;2.35;2 septembre 2020;Audio : Français DD 2.0mono;Sous-titrage : Français;https://images.epagine.fr/331/3607483280331_vid.jpg;En stock;Cinéma;Long métrage;Comédie;;;
Waiting for the Barbarians;Ciro Guerra;M6 Vidéo;;Un magistrat bon et juste gère un fort d'une ville frontalière de l'Empire. Le pouvoir central s'inquiète d'une invasion barbare et dépêche sur les lieux le colonel Joll, un tortionnaire de la pire espèce. Son arrivée marque le début de l'oppression du peuple indigène. Une jeune fille blessée attire l'attention du magistrat qui décide de la prendre sous son aile. Dès lors, ce dernier commence à contester les méthodes du colonel et à remettre en question sa loyauté.;"Boîtier avec fourreau

Making of (12')";14.90 €;Mark Rylance,Johnny Depp,Robert Pattinson,Gana Bayarsaikhan,Greta Scacchi,David Dencik,Sam Reid;"Italie;USA";Tous publics;Waiting for the Barbarians;75 mn;2019;3475001060891;Disponible;WARNER HOME VIDEO;DVD;2;16/9 Anamorphique;2.39;2 septembre 2020;Audio : Français DD 5.1, Anglais DD 5.1;Sous-titrage : Français;https://images.epagine.fr/891/3475001060891_vid.jpg;Sur commande;Cinéma;Long métrage;Drame;Historique;;
L'Alibi;Pierre Chenal;Gaumont;Gaumont Découverte en Blu-ray;Le professeur Winckler, maître de sciences occultes, assassine l'amant de sa femme. Puis il offre à Hélène, entraîneuse de la boîte de nuit où il travaille, une forte somme d'argent pour qu'elle affirme avoir passé la nuit avec lui. Dans un premier temps, celle-ci accepte, mais, découvrant le crime, elle veut se rétracter. Winckler la menace et, effrayée, elle se tait. Soupçonnant l'inexactitude de cet alibi, un jeune inspecteur de police courtise la jeune femme afin d'obtenir ses aveux.;"Image et son restaurés

""Un crime parfait"" (21') : présentation du film par Didier Griselain, spécialiste du cinéma français 1930-1960";14.90 €;Erich Von Stroheim,Albert Préjean,Jany Holt,Louis Jouvet,Véra Flory,Florence Marly,Margo Lion;France;Tous publics;L'Alibi;84 mn;1937;3607483280454;Disponible;ESC DISTRIBUTION;Blu-ray;"A;B;C";16/9 Natif;1.37;2 septembre 2020;Audio : Français DTSHD-MA 2.0mono;Sous-titrage : Français;https://images.epagine.fr/454/3607483280454_vid.jpg;En stock;Cinéma;Long métrage;Comédie Dramatique;;;
